sale_id;line_id;date;time;store_id;store_type;zone;surface;hyper;specialty_brands;open_time;open_to_clients_hours;open_days;foot_traffic_by_hour;daily_foot_traffic;nb_employees;employee_id;employee_profile;monthly_salary;anciennete_mois;hire_date;job_role;average_day_time_backoffice;average_day_time_frontoffice;customer_id;genre;age;favorite_brand;has_loyalty_card;customer_profile;loyalty_points_used;loyalty_points_earned;product_id;product_kind;brand;category;model;color;size;price_sold;tva_rate;price_ht;tva_amount;loyalty_discount_ttc;gross_price_ttc_before_loyalty;base_price;is_best_seller;total_discount_applied;special_offer_discount;discount_value_fidelity;ajust_value_magasin;discount_val_month;pct_economise;year_month;CA_month
V000010;L0000011;2024-01-26;09:38;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0154;M;48;;true;sneakerhead;0;15;P026;shoe;Puma;Limited Edition;Flex;Black;30;153,21;0,2;127,68;25,53;0;153,21;153,21;false;0;0;0;-10;0;0;2024-01;41323,97
V000011;L0000012;2024-01-26;16:20;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0140;M;44;;true;chasseur_de_promos;0;12;P025;shoe;Asics;Running;Pro;Electric Blue;38;103,91;0,2;86,59;17,32;0;103,91;115,1;false;11,19;11,19;0;-10;0;9,72;2024-01;41323,97
V000011;L0000013;2024-01-26;16:20;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0140;M;44;;true;chasseur_de_promos;0;12;A005;accessory;Accessoire;Lacets;Lacets;White;M;22,05;0,2;18,38;3,67;0;22,05;22,05;false;0;0;0;-10;0;0;2024-01;41323,97
V000012;L0000014;2024-01-18;13:20;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0008;JeunePrometteur;1994;60;2019-12-04;Sales;0,1;0,9;C0104;F;26;;true;impulsif;0;9;P036;shoe;Puma;Running;Pro;Sunny Yellow;36;92;0,2;76,67;15,33;0;92;92;false;0;0;0;-10;0;0;2024-01;41323,97
V000013;L0000015;2024-01-01;12:02;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0033;M;31;;true;sneakerhead;0;10;P021;shoe;Jordans;Basketball;Elite;Deep Blue;30;100;0,2;83,33;16,67;0;100;100;false;0;0;0;-10;0;0;2024-01;41323,97
V000014;L0000016;2024-01-23;14:54;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0059;F;33;Jordans;true;fidele_marque;0;9;P021;shoe;Jordans;Basketball;Elite;Deep Blue;30;96,12;0,2;80,1;16,02;0;96,12;100;false;3,88;3,88;0;-10;0;3,88;2024-01;41323,97
V000015;L0000017;2024-01-08;11:49;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0250;F;20;Puma;true;fidele_marque;0;9;P041;shoe;Puma;Training;Air;Red Blood;42;91,5;0,2;76,25;15,25;0;91,5;91,5;false;0;0;0;-10;0;0;2024-01;41323,97
V000016;L0000018;2024-01-26;15:04;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0003;Blase;2349;168;2010-12-17;Sales;0,26;0,74;C0077;M;38;;false;impulsif;0;0;P025;shoe;Asics;Running;Pro;Electric Blue;38;115,1;0,2;95,92;19,18;0;115,1;115,1;false;0;0;0;-10;0;0;2024-01;41323,97
V000017;L0000019;2024-01-10;14:43;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0050;M;39;;true;sneakerhead;0;15;P022;shoe;Jordans;Limited Edition;Elite;Black;40;154,66;0,2;128,88;25,78;0;154,66;154,66;false;0;0;0;-10;0;0;2024-01;41323,97
V000018;L0000020;2024-01-27;17:19;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0220;M;29;;true;sneakerhead;0;16;P061;shoe;Jordans;Limited Edition;Zoom;Pink;43;160;0,2;133,33;26,67;0;160;160;true;0;0;0;-10;0;0;2024-01;41323,97
V000019;L0000021;2024-01-24;13:48;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0184;M;42;;false;impulsif;0;0;P022;shoe;Jordans;Limited Edition;Elite;Black;40;154,66;0,2;128,88;25,78;0;154,66;154,66;false;0;0;0;-10;0;0;2024-01;41323,97
V000019;L0000022;2024-01-24;13:48;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0184;M;42;;false;impulsif;0;0;A004;accessory;Accessoire;Tee-shirt;Tee-shirt;White;XL;13,23;0,2;11,03;2,2;0;13,23;13,23;false;0;0;0;-10;0;0;2024-01;41323,97
V000020;L0000023;2024-01-31;15:09;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0001;Blase;2519;214;2007-02-28;Sales;0,27;0,73;C0130;M;23;;false;chasseur_de_promos;0;0;P051;shoe;Asics;Limited Edition;Flex;Black;34;130,25;0,2;108,54;21,71;0;130,25;151,33;true;21,08;21,08;0;-10;0;13,93;2024-01;41323,97
V000021;L0000024;2024-01-19;16:01;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0091;M;38;;true;chasseur_de_promos;0;11;P027;shoe;Puma;Casual;Zoom;Light Green;33;110,79;0,2;92,33;18,46;0;110,79;110,79;true;0;0;0;-10;0;0;2024-01;41323,97
V000022;L0000025;2024-01-23;14:22;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0089;F;25;;false;sneakerhead;0;0;P061;shoe;Jordans;Limited Edition;Zoom;Pink;43;160;0,2;133,33;26,67;0;160;160;true;0;0;0;-10;0;0;2024-01;41323,97
V000023;L0000026;2024-01-25;16:27;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0223;F;33;;true;sneakerhead;0;30;P004;shoe;Asics;Limited Edition;Max;Black;34;157,3;0,2;131,08;26,22;0;157,3;157,3;false;0;0;0;-10;0;0;2024-01;41323,97
V000023;L0000027;2024-01-25;16:27;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0223;F;33;;true;sneakerhead;0;30;P051;shoe;Asics;Limited Edition;Flex;Black;34;151,33;0,2;126,11;25,22;0;151,33;151,33;true;0;0;0;-10;0;0;2024-01;41323,97
V000024;L0000028;2024-01-06;10:10;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0004;F;35;;true;impulsif;0;10;P016;shoe;Jordans;Running;Pro;Premium Black;42;108,94;0,2;90,78;18,16;0;108,94;115,1;false;6,16;6,16;0;-10;0;5,35;2024-01;41323,97
V000025;L0000029;2024-01-05;16:32;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0207;M;20;;true;chasseur_de_promos;278;12;P022;shoe;Jordans;Limited Edition;Elite;Black;40;126,86;0,2;105,72;21,14;27,8;154,66;154,66;false;27,8;0;27,8;-10;0;17,97;2024-01;41323,97
V000026;L0000030;2024-01-18;12:23;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0223;F;33;;true;sneakerhead;0;14;P004;shoe;Asics;Limited Edition;Max;Black;34;148,71;0,2;123,93;24,78;0;148,71;157,3;false;8,59;8,59;0;-10;0;5,46;2024-01;41323,97
V000027;L0000031;2024-01-09;15:52;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0125;F;16;;true;chasseur_de_promos;0;15;P051;shoe;Asics;Limited Edition;Flex;Black;34;151,33;0,2;126,11;25,22;0;151,33;151,33;true;0;0;0;-10;0;0;2024-01;41323,97
V000028;L0000032;2024-01-06;17:44;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0172;F;38;;true;sneakerhead;0;8;P021;shoe;Jordans;Basketball;Elite;Deep Blue;30;86,82;0,2;72,35;14,47;0;86,82;100;false;13,18;8,18;0;-10;5;13,18;2024-01;41323,97
V000029;L0000033;2024-01-19;14:56;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0147;F;28;;true;chasseur_de_promos;0;19;P058;shoe;Puma;Trail;Air;White;36;112,33;0,2;93,61;18,72;0;112,33;112,33;false;0;0;0;-10;0;0;2024-01;41323,97
V000029;L0000034;2024-01-19;14:56;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0147;F;28;;true;chasseur_de_promos;0;19;P036;shoe;Puma;Running;Pro;Sunny Yellow;36;79,28;0,2;66,07;13,21;0;79,28;92;false;12,72;12,72;0;-10;0;13,83;2024-01;41323,97
V000030;L0000035;2024-01-20;13:19;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0236;F;54;;false;chasseur_de_promos;0;0;P038;shoe;Asics;Basketball;Zoom;Premium Black;39;120,38;0,2;100,32;20,06;0;120,38;120,38;false;0;0;0;-10;0;0;2024-01;41323,97
V000031;L0000036;2024-01-29;15:33;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0001;Blase;2519;214;2007-02-28;Sales;0,27;0,73;C0147;F;28;;true;chasseur_de_promos;0;9;P035;shoe;Puma;Running;Zoom;Deep Purple;33;94,08;0,2;78,4;15,68;0;94,08;99,03;false;4,95;0;0;-10;4,95;5;2024-01;41323,97
V000032;L0000037;2024-01-23;09:44;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0160;F;16;;false;chasseur_de_promos;0;0;P008;shoe;Jordans;Casual;Max;Brown Bear;44;111;0,2;92,5;18,5;0;111;111;true;0;0;0;-10;0;0;2024-01;41323,97
V000033;L0000038;2024-01-03;18:02;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0154;M;48;;true;sneakerhead;0;16;P061;shoe;Jordans;Limited Edition;Zoom;Pink;43;160;0,2;133,33;26,67;0;160;160;true;0;0;0;-10;0;0;2024-01;41323,97
V000034;L0000039;2024-01-27;14:00;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0252;F;37;;true;sneakerhead;0;16;P061;shoe;Jordans;Limited Edition;Zoom;Pink;43;160;0,2;133,33;26,67;0;160;160;true;0;0;0;-10;0;0;2024-01;41323,97
V000035;L0000040;2024-01-06;09:27;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0172;F;38;;true;sneakerhead;0;11;P027;shoe;Puma;Casual;Zoom;Light Green;33;110,79;0,2;92,33;18,46;0;110,79;110,79;true;0;0;0;-10;0;0;2024-01;41323,97
V000036;L0000041;2024-01-05;18:56;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0113;F;17;;true;sneakerhead;0;12;P008;shoe;Jordans;Casual;Max;Brown Bear;44;111;0,2;92,5;18,5;0;111;111;true;0;0;0;-10;0;0;2024-01;41323,97
V000036;L0000042;2024-01-05;18:56;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0113;F;17;;true;sneakerhead;0;12;A008;accessory;Accessoire;Tee-shirt;Tee-shirt;Black;M;17,64;0,2;14,7;2,94;0;17,64;17,64;false;0;0;0;-10;0;0;2024-01;41323,97
V000037;L0000043;2024-01-20;15:43;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0182;M;26;;true;sneakerhead;0;8;P017;shoe;Jordans;Casual;Max;Deep Purple;42;88,43;0,2;73,69;14,74;0;88,43;88,43;false;0;0;0;-10;0;0;2024-01;41323,97
V000038;L0000044;2024-01-13;11:58;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0148;M;30;;false;impulsif;0;0;P006;shoe;Puma;Casual;Elite;Premium Black;35;98,48;0,2;82,07;16,41;0;98,48;98,48;true;0;0;0;-10;0;0;2024-01;41323,97
V000038;L0000045;2024-01-13;11:58;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0148;M;30;;false;impulsif;0;0;A005;accessory;Accessoire;Lacets;Lacets;White;M;22,05;0,2;18,38;3,67;0;22,05;22,05;false;0;0;0;-10;0;0;2024-01;41323,97
V000039;L0000046;2024-01-13;15:21;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0068;M;36;;true;chasseur_de_promos;0;15;P004;shoe;Asics;Limited Edition;Max;Black;34;157,3;0,2;131,08;26,22;0;157,3;157,3;false;0;0;0;-10;0;0;2024-01;41323,97
V000040;L0000047;2024-01-11;09:47;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0079;M;21;;false;impulsif;0;0;P008;shoe;Jordans;Casual;Max;Brown Bear;44;111;0,2;92,5;18,5;0;111;111;true;0;0;0;-10;0;0;2024-01;41323,97
V000041;L0000048;2024-01-03;12:24;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0008;JeunePrometteur;1994;60;2019-12-04;Sales;0,1;0,9;C0248;M;45;;true;sneakerhead;0;7;P036;shoe;Puma;Running;Pro;Sunny Yellow;36;73,36;0,2;61,13;12,23;0;73,36;92;false;18,64;4,84;0;-10;13,8;20,26;2024-01;41323,97
V000042;L0000049;2024-01-27;15:33;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0003;Blase;2349;168;2010-12-17;Sales;0,26;0,74;C0109;F;25;;true;chasseur_de_promos;0;15;P051;shoe;Asics;Limited Edition;Flex;Black;34;151,33;0,2;126,11;25,22;0;151,33;151,33;true;0;0;0;-10;0;0;2024-01;41323,97
V000043;L0000050;2024-01-26;15:54;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0039;F;46;;true;chasseur_de_promos;0;9;P025;shoe;Asics;Running;Pro;Electric Blue;38;91,51;0,2;76,26;15,25;0;91,51;115,1;false;23,59;12,08;0;-10;11,51;20,5;2024-01;41323,97
V000044;L0000051;2024-01-06;13:08;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0046;M;28;Puma;true;fidele_marque;0;9;P036;shoe;Puma;Running;Pro;Sunny Yellow;36;92;0,2;76,67;15,33;0;92;92;false;0;0;0;-10;0;0;2024-01;41323,97
V000045;L0000052;2024-01-02;13:06;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0080;M;51;;true;chasseur_de_promos;0;8;P036;shoe;Puma;Running;Pro;Sunny Yellow;36;83,95;0,2;69,96;13,99;0;83,95;92;false;8,05;8,05;0;-10;0;8,75;2024-01;41323,97
V000046;L0000053;2024-01-11;09:16;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0193;F;28;;true;sneakerhead;0;16;P061;shoe;Jordans;Limited Edition;Zoom;Pink;43;160;0,2;133,33;26,67;0;160;160;true;0;0;0;-10;0;0;2024-01;41323,97
V000047;L0000054;2024-01-20;14:12;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0204;M;16;;true;sneakerhead;0;27;P051;shoe;Asics;Limited Edition;Flex;Black;34;151,33;0,2;126,11;25,22;0;151,33;151,33;true;0;0;0;-10;0;0;2024-01;41323,97
V000047;L0000055;2024-01-20;14:12;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0204;M;16;;true;sneakerhead;0;27;P004;shoe;Asics;Limited Edition;Max;Black;34;125,84;0,2;104,87;20,97;0;125,84;157,3;false;31,46;0;0;-10;31,46;20;2024-01;41323,97
V000048;L0000056;2024-01-16;17:11;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0008;JeunePrometteur;1994;60;2019-12-04;Sales;0,1;0,9;C0189;M;16;;true;impulsif;0;13;P026;shoe;Puma;Limited Edition;Flex;Black;30;130,23;0,2;108,52;21,71;0;130,23;153,21;false;22,98;0;0;-10;22,98;15;2024-01;41323,97
V000049;L0000057;2024-01-02;17:23;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0160;F;16;;false;chasseur_de_promos;0;0;P061;shoe;Jordans;Limited Edition;Zoom;Pink;43;135,64;0,2;113,03;22,61;0;135,64;160;true;24,36;24,36;0;-10;0;15,23;2024-01;41323,97
V000050;L0000058;2024-01-24;16:15;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0157;M;27;;true;impulsif;144;9;P038;shoe;Asics;Basketball;Zoom;Premium Black;39;98,52;0,2;82,1;16,42;14,4;112,92;120,38;false;21,86;7,46;14,4;-10;0;18,16;2024-01;41323,97
V000051;L0000059;2024-01-27;14:22;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0001;Blase;2519;214;2007-02-28;Sales;0,27;0,73;C0147;F;28;;true;chasseur_de_promos;0;11;P008;shoe;Jordans;Casual;Max;Brown Bear;44;111;0,2;92,5;18,5;0;111;111;true;0;0;0;-10;0;0;2024-01;41323,97
V000052;L0000060;2024-01-13;09:42;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0001;Blase;2519;214;2007-02-28;Sales;0,27;0,73;C0007;F;26;;true;sneakerhead;0;16;P022;shoe;Jordans;Limited Edition;Elite;Black;40;154,66;0,2;128,88;25,78;0;154,66;154,66;false;0;0;0;-10;0;0;2024-01;41323,97
V000052;L0000061;2024-01-13;09:42;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0001;Blase;2519;214;2007-02-28;Sales;0,27;0,73;C0007;F;26;;true;sneakerhead;0;16;A006;accessory;Accessoire;Bonnet;Bonnet;Deep Blue;XS;8,82;0,2;7,35;1,47;0;8,82;8,82;false;0;0;0;-10;0;0;2024-01;41323,97
V000053;L0000062;2024-01-26;17:15;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0005;Stagiaire;883;13;2023-11-06;Apprentice;0,22;0,78;C0241;M;30;;true;sneakerhead;0;11;P027;shoe;Puma;Casual;Zoom;Light Green;33;110,79;0,2;92,33;18,46;0;110,79;110,79;true;0;0;0;-10;0;0;2024-01;41323,97
V000054;L0000063;2024-01-04;17:27;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0208;F;43;;true;sneakerhead;0;11;P008;shoe;Jordans;Casual;Max;Brown Bear;44;111;0,2;92,5;18,5;0;111;111;true;0;0;0;-10;0;0;2024-01;41323,97
V000055;L0000064;2024-01-01;15:28;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0116;M;33;Jordans;false;fidele_marque;0;0;P022;shoe;Jordans;Limited Edition;Elite;Black;40;154,66;0,2;128,88;25,78;0;154,66;154,66;false;0;0;0;-10;0;0;2024-01;41323,97
